히트펌프 난방 COP 계산기  |  시간별 온도 → 난방수요 가중평균 sCOP 자동 계산,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
▶ 입력 파라미터  (파란 글씨 셀만 수정),,,,,,,,,,,,,,,,,
공급수 온도  Ts (°C),,,45,← 바닥난방 35~45 / 라디에이터 55~70,,,,,,,,,,,,,
카르노 보정계수  η,,,0.50,← 실제/이론 효율비. 일반 범위: 0.4~0.6,,,,,,,,,,,,,
난방 기준온도  Tbase (°C),,,15,← HDD 계산 기준. 국내 표준: 15°C 또는 18°C,,,,,,,,,,,,,
목표 sCOP,,,3.0,← 달성 목표값 (비교용),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"※ 계산식:  COP(월,h) = η × (Ts+273) / max(1, Ts−T(월,h))  │  월평균COP = 난방시간 가중평균 (T < Tbase 시간만 포함)  │  sCOP = Σ(월난방수요×월COP) / Σ(월난방수요)  │  T 데이터 출처: '외기온도_시간분포' 시트",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
지역,항목,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,"연간
합계/평균","sCOP
(HDD가중)","목표
sCOP","달성
여부"
중부1,월평균기온(°C),-9.2,-6.3,0.3,8.4,15.0,19.6,24.1,24.3,17.8,9.8,1.5,-6.8,8.2,3.29,3.0,✓ 달성
,월 HDD (난방도일),750,596,456,198,0,0,0,0,0,161,405,676,3242,,,
,월 COP (난방시간 가중),2.94,3.10,3.52,4.03,4.31,3.63,3.53,3.53,4.15,4.10,3.61,3.07,3.63,,,
,,,,,,,,,,,,,,,,,
중부2,월평균기온(°C),-1.8,0.8,6.5,13.2,18.5,23.0,26.4,27.1,22.0,15.2,7.5,0.5,13.2,3.66,3.0,✓ 달성
,월 HDD (난방도일),521,398,264,54,0,0,0,0,0,0,225,450,1910,,,
,월 COP (난방시간 가중),3.39,3.57,4.00,4.29,3.95,3.53,3.53,3.53,3.53,4.33,4.08,3.55,3.77,,,
,,,,,,,,,,,,,,,,,
남부,월평균기온(°C),3.8,5.4,9.5,15.2,19.5,22.5,26.0,27.2,23.2,17.5,11.2,5.5,15.5,3.99,3.0,✓ 달성
,월 HDD (난방도일),347,269,171,0,0,0,0,0,0,0,114,295,1195,,,
,월 COP (난방시간 가중),3.82,3.95,4.23,4.34,3.54,3.53,3.53,3.53,3.53,4.06,4.31,3.96,3.86,,,
,,,,,,,,,,,,,,,,,
제주,월평균기온(°C),6.2,7.0,10.5,15.2,19.5,23.0,27.2,28.0,24.0,19.0,13.5,8.2,16.8,4.21,3.0,✓ 달성
,월 HDD (난방도일),273,224,140,0,0,0,0,0,0,0,45,211,892,,,
,월 COP (난방시간 가중),4.06,4.13,4.44,4.79,0.00,0.00,0.00,0.00,0.00,0.00,4.67,4.25,2.20,,,
,,,,,,,,,,,,,,,,,
